Aleatorio WelshPowell Matula
102 104 101
104 101 108
103 100 110
102 101 106
106 99 110
102 98 110
105 99 106
103 99 108
105 98 105
102 101 107
104 99 110
103 96 110
104 97 111
105 99 109
102 102 109
105 100 108
105 100 108
104 100 108
104 99 110
104 100 111
106 100 107
103 97 108
103 100 106
107 101 107
102 98 108
103 100 111
105 100 110
106 101 109
104 96 107
105 100 111
105 100 109
106 99 107
104 99 110
107 99 108
105 101 108
105 99 107
104 101 108
105 101 109
102 99 109
107 98 109
105 100 107
104 102 111
103 97 106
105 99 107
104 100 108
102 100 111
105 99 110
102 99 107
104 100 108
104 102 109
105 100 110
103 97 105
103 101 108
103 102 109
107 101 106
104 99 108
103 102 107
106 100 107
103 101 109
102 101 106
103 101 108
106 99 109
103 100 107
107 100 108
106 100 106
103 102 109
103 101 108
103 98 111
106 99 111
104 98 109
103 100 107
106 100 107
102 103 108
103 100 109
104 99 109
102 99 109
105 100 108
104 99 109
104 101 110
101 102 109
102 98 109
101 98 109
104 99 110
106 100 108
104 100 107
104 100 106
104 97 106
104 98 111
103 100 107
104 99 107
102 99 110
107 98 108
104 102 109
104 101 110
104 99 107
105 102 107
104 98 106
104 99 109
105 101 104
103 99 107
105 99 108
100 99 107
105 101 112
105 101 109
103 101 108
104 100 106
105 101 107
103 99 107
105 102 106
105 100 109
105 98 109
104 103 108
104 102 110
106 103 108
103 100 109
103 103 109
108 100 109
105 101 107
104 100 107
103 101 108
105 101 107
105 98 107
106 99 108
106 102 108
104 100 108
105 102 108
102 101 106
103 100 109
104 98 107
104 99 110
102 100 110
103 102 112
104 99 106
105 100 108
103 101 106
105 100 106
103 100 104
103 100 108
104 99 107
103 101 108
106 101 106
104 99 109
105 97 108
105 99 108
106 99 108
105 101 111
104 99 105
104 100 111
103 97 107
103 97 107
102 99 105
104 101 105
107 102 112
106 101 108
106 98 109
104 99 109
104 99 106
102 98 111
104 99 108
103 102 110
103 100 107
104 100 110
105 97 108
102 101 108
105 100 109
102 100 109
105 99 106
104 98 107
103 97 107
103 102 107
104 101 110
104 97 108
102 102 110
108 99 110
107 100 109
102 100 105
104 100 107
104 99 108
102 101 108
103 102 109
104 99 109
104 100 111
102 99 109
104 100 109
105 100 109
103 98 109
104 101 107
102 98 104
105 101 107
103 99 109
104 100 110
105 99 112
107 98 110
102 98 109
103 101 107
101 101 109
103 101 107
103 100 106
101 100 108
107 100 110
102 98 107
103 101 108
101 99 108
105 102 109
100 99 107
103 98 110
102 101 106
104 103 108
104 102 110
100 100 109
104 100 109
108 99 107
103 101 109
102 98 109
103 100 107
104 102 107
105 99 106
105 98 108
104 100 109
106 99 106
103 101 108
105 101 104
107 100 108
104 99 107
105 100 109
108 101 106
105 102 108
101 101 110
104 101 110
106 99 109
105 99 107
101 101 108
103 100 106
106 102 107
105 99 106
104 101 109
106 101 110
104 100 109
105 101 107
103 102 110
103 99 108
104 99 106
104 99 109
104 100 107
105 98 107
104 99 108
105 100 111
105 99 106
104 99 108
102 101 108
106 100 107
104 100 106
108 98 109
102 99 109
103 99 108
103 101 108
104 102 106
103 99 110
105 98 107
104 98 106
104 102 107
104 101 110
103 99 108
104 100 111
104 100 110
106 101 108
103 101 108
104 101 110
104 101 109
102 101 107
104 100 111
105 100 109
105 100 110
106 98 108
103 101 108
106 101 110
106 99 107
103 99 109
106 99 107
104 100 110
105 100 106
105 101 107
104 98 109
105 101 110
104 100 106
102 102 111
103 99 110
103 98 109
105 100 108
103 101 108
105 101 109
102 99 109
105 99 106
104 99 107
102 102 108
104 99 112
106 102 110
109 98 109
102 101 107
102 100 111
103 99 110
104 103 108
103 100 107
105 100 106
105 99 108
105 99 106
104 100 107
106 99 110
104 98 107
104 99 106
105 99 108
104 100 108
105 100 108
104 103 107
104 97 108
104 98 108
103 101 110
106 99 109
104 101 108
102 100 108
104 99 110
101 101 109
106 101 110
106 97 107
103 98 109
102 101 109
107 101 110
104 100 108
104 100 105
106 99 110
106 102 109
106 101 109
103 100 106
104 100 107
103 101 109
105 100 108
104 101 110
106 101 106
105 102 112
103 101 113
103 101 108
103 99 108
105 99 106
103 100 110
107 99 108
104 99 108
107 100 106
104 100 107
103 99 109
107 101 109
104 100 108
103 99 107
104 98 107
105 102 110
104 102 108
103 100 112
106 101 109
104 100 108
103 100 109
106 97 107
102 101 107
102 99 107
104 101 108
106 101 107
101 98 108
103 101 109
105 99 107
105 103 111
103 101 107
105 103 108
102 99 111
105 100 110
105 100 105
104 99 108
105 101 109
102 99 106
105 101 108
105 99 108
102 101 106
107 101 110
107 97 108
102 99 108
103 100 109
104 102 110
105 101 108
104 101 107
103 104 108
103 100 110
105 101 105
104 100 111
104 101 111
103 100 109
101 100 109
102 99 107
106 104 109
103 100 108
102 100 110
103 102 108
105 101 109
104 98 111
107 98 109
103 103 108
104 101 107
104 98 107
105 100 107
104 101 108
106 101 108
105 98 109
104 100 109
102 99 110
104 100 109
104 101 106
102 101 108
109 99 107
102 100 107
101 100 109
103 100 108
107 99 106
103 99 107
101 101 107
104 101 107
105 100 108
104 101 106
105 101 111
103 101 108
104 98 107
104 100 109
103 101 110
102 101 108
106 101 113
103 98 110
106 99 109
106 99 104
105 100 107
104 99 106
105 99 108
103 101 108
102 101 109
105 100 104
104 101 108
104 101 107
103 99 111
104 99 106
104 98 108
104 98 108
101 100 107
103 100 108
103 101 110
103 100 110
105 99 107
105 97 107
103 101 108
104 99 109
105 102 108
107 97 109
104 100 110
103 100 107
105 100 107
106 99 108
104 101 108
105 98 108
104 102 109
106 100 110
103 99 107
103 101 106
103 101 109
107 101 106
103 98 108
104 100 107
104 101 109
104 100 107
104 100 111
103 101 110
102 101 110
103 101 108
104 101 106
104 102 108
104 101 108
104 99 110
107 99 108
102 100 107
103 101 107
103 100 108
102 99 109
105 103 108
104 101 105
103 100 110
103 99 107
104 100 109
105 97 108
103 101 107
104 101 105
104 99 109
103 102 109
105 100 110
102 101 107
101 99 109
103 102 108
103 98 107
104 100 111
104 99 109
104 101 110
104 98 109
103 100 106
106 99 112
106 101 109
107 102 109
102 100 109
100 98 109
103 98 108
104 98 109
103 101 106
101 101 107
103 101 106
103 98 109
107 99 111
102 100 110
105 98 107
103 101 110
102 100 109
104 100 108
105 99 108
106 102 111
103 100 109
104 99 109
104 100 108
106 98 109
106 102 107
106 100 106
105 102 109
104 100 112
106 101 108
104 101 107
103 98 109
103 100 107
102 100 108
104 100 106
104 99 110
104 99 106
106 99 107
103 100 109
104 102 108
102 102 109
104 101 108
104 102 108
105 99 109
105 102 106
103 100 110
104 100 107
102 102 110
106 100 106
105 100 108
106 98 107
105 97 111
103 100 110
102 101 107
105 99 109
105 101 109
103 100 106
104 100 109
101 102 108
105 99 107
107 98 108
101 101 110
103 100 110
105 101 109
102 99 108
102 102 108
103 98 110
105 100 108
106 100 105
103 101 107
103 101 107
104 99 107
102 100 109
